summary_id,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total,total_time,total_charge_mC,total_charge_mAh,total_energy_mJ
0,3205,78681,0,0,81877,81877,81886,46.21458050842285,0.012837383474561903,138.64374152526855
1,38321,780877,0,360,372,732,819198,3.127059622192383,0.0008686276728312175,9.381178866577148
2,39036,780164,0,360,372,732,819200,3.165767834472656,0.0008793799540201822,9.497303503417967
3,38303,780897,0,360,372,732,819200,3.1260867828369143,0.0008683574396769207,9.378260348510743
4,39181,780019,0,360,372,732,819200,3.173617428588867,0.0008815603968302409,9.520852285766601
5,38466,780734,0,360,374,734,819200,3.1360338562011716,0.0008711205156114365,9.408101568603515
6,39004,780196,0,362,373,735,819200,3.165659045410156,0.0008793497348361544,9.496977136230468
7,38294,780906,0,361,374,735,819200,3.127253619384765,0.0008686815609402124,9.381760858154294
8,39132,780068,0,363,372,735,819200,3.172557824707032,0.00088126606241862,9.517673474121096
9,38589,780611,0,363,372,735,819200,3.1431624481201172,0.0008731006800333659,9.429487344360352
10,38987,780213,0,364,373,737,819200,3.165800759887696,0.0008793890999688043,9.497402279663088
11,38563,780637,0,365,372,737,819200,3.1428169464111333,0.0008730047073364259,9.428450839233399
12,38996,780204,0,366,373,739,819200,3.167349987792969,0.0008798194410536025,9.502049963378907
13,38586,780614,0,360,372,732,819200,3.1414070251464845,0.0008726130625406901,9.424221075439453
14,38981,780219,0,361,373,734,819200,3.1638829315185544,0.0008788563698662651,9.491648794555664
15,38436,780764,0,360,372,732,819200,3.1332867553710937,0.000870357432047526,9.399860266113281
16,38979,780221,0,360,373,733,819200,3.1632436553955077,0.0008786787931654188,9.489730966186523
17,38455,780745,0,360,372,732,819200,3.1343153228759766,0.0008706431452433269,9.402945968627929
18,39021,780179,0,360,373,733,819200,3.1655173309326172,0.0008793103697035048,9.496551992797851
19,38861,780339,0,361,372,733,819200,3.156825192260743,0.0008768958867390953,9.470475576782228
20,39288,779912,0,360,373,733,819200,3.179971411132813,0.0008833253919813368,9.539914233398438
21,38439,780761,0,360,372,732,819200,3.1334491607666015,0.0008704025446573893,9.400347482299804
22,39288,779912,0,360,373,733,819200,3.179971411132813,0.0008833253919813368,9.539914233398438
